time,lasttime,lat,lng,speed,course,altitude,comment
  3:34,5/9/26 15:34,44.61055,-112.48597,0,241,1997,BYU-I HART Balloon - 5
3:54,5/9/26 15:54,44.61056,-112.48596,0,217,1996,BYU-I HART Balloon - 5
4:12,5/9/26 16:12,44.61055,-112.48597,0,217,1996,BYU-I HART Balloon - 5
4:18,5/9/26 16:18,44.60205,-112.47511,26,140,3319,BYU-I HART Balloon - 5
4:22,5/9/26 16:22,44.5825,-112.46246,54,166,4789,BYU-I HART Balloon - 5
4:24,5/9/26 16:24,44.56912,-112.44944,74,135,5455,BYU-I HART Balloon - 5
4:26,5/9/26 16:26,44.55312,-112.42972,80,152,6158,BYU-I HART Balloon - 5
4:28,5/9/26 16:28,44.53254,-112.41071,94,137,6980,BYU-I HART Balloon - 5
4:30,5/9/26 16:30,44.51125,-112.38919,89,139,7732,BYU-I HART Balloon - 5
4:32,5/9/26 16:32,44.4885,-112.36469,96,147,8488,BYU-I HART Balloon - 5
4:34,5/9/26 16:34,44.47038,-112.34182,70,144,9317,BYU-I HART Balloon - 5
4:36,5/9/26 16:36,44.45231,-112.32504,81,139,10051,BYU-I HART Balloon - 5
4:38,5/9/26 16:38,44.43455,-112.30273,81,140,10859,BYU-I HART Balloon - 5
4:40,5/9/26 16:40,44.42107,-112.27578,81,127,11576,BYU-I HART Balloon - 5
4:42,5/9/26 16:42,44.40516,-112.25062,87,131,12264,BYU-I HART Balloon - 5
4:44,5/9/26 16:44,44.38849,-112.21886,70,120,12975,BYU-I HART Balloon - 5
4:46,5/9/26 16:46,44.37815,-112.19043,85,114,13653,BYU-I HART Balloon - 5
4:48,5/9/26 16:48,44.36454,-112.16849,61,128,14411,BYU-I HART Balloon - 5
4:50,5/9/26 16:50,44.35567,-112.15378,46,143,15188,BYU-I HART Balloon - 5
4:52,5/9/26 16:52,44.34555,-112.13913,50,113,15855,BYU-I HART Balloon - 5
4:54,5/9/26 16:54,44.3387,-112.12208,46,119,16415,BYU-I HART Balloon - 5
4:56,5/9/26 16:56,44.32541,-112.10708,41,146,17140,BYU-I HART Balloon - 5
4:58,5/9/26 16:58,44.31862,-112.10609,17,206,17883,BYU-I HART Balloon - 5
5:00,5/9/26 17:00,44.31472,-112.10892,17,155,18590,BYU-I HART Balloon - 5
5:02,5/9/26 17:02,44.31096,-112.10955,20,299,19308,BYU-I HART Balloon - 5
5:04,5/9/26 17:04,44.31011,-112.11142,19,156,19952,BYU-I HART Balloon - 5
5:06,5/9/26 17:06,44.30858,-112.11082,11,46,20615,BYU-I HART Balloon - 5
5:08,5/9/26 17:08,44.30423,-112.10807,28,165,21293,BYU-I HART Balloon - 5
5:10,5/9/26 17:10,44.2991,-112.10863,15,302,21972,BYU-I HART Balloon - 5
5:12,5/9/26 17:12,44.29969,-112.10802,19,142,22654,BYU-I HART Balloon - 5
5:14,5/9/26 17:14,44.29664,-112.11096,9,250,23320,BYU-I HART Balloon - 5
5:16,5/9/26 17:16,44.29448,-112.11304,13,223,24007,BYU-I HART Balloon - 5
5:18,5/9/26 17:18,44.29168,-112.1216,28,250,24678,BYU-I HART Balloon - 5
5:20,5/9/26 17:20,44.29275,-112.12561,19,190,25410,BYU-I HART Balloon - 5
5:22,5/9/26 17:22,44.29438,-112.1333,35,320,26115,BYU-I HART Balloon - 5
5:24,5/9/26 17:24,44.29787,-112.13973,20,321,26834,BYU-I HART Balloon - 5
5:26,5/9/26 17:26,44.3,-112.14789,20,233,27589,BYU-I HART Balloon - 5
5:28,5/9/26 17:28,44.30471,-112.15112,28,21,28272,BYU-I HART Balloon - 5
5:30,5/9/26 17:30,44.30641,-112.15163,19,297,29004,BYU-I HART Balloon - 5
5:32,5/9/26 17:32,44.30819,-112.15452,11,41,29778,BYU-I HART Balloon - 5
5:34,5/9/26 17:34,44.31064,-112.15367,9,354,30510,BYU-I HART Balloon - 5
5:36,5/9/26 17:36,44.31021,-112.15266,2,24,31244,BYU-I HART Balloon - 5
5:38,5/9/26 17:38,44.30964,-112.15394,6,291,31944,BYU-I HART Balloon - 5
5/9/26 17:41,5/9/26 17:41,44.30882,-112.15466,15,291,29167,BYU-I HART Balloon - 5
5/9/26 17:43,5/9/26 17:43,44.31034,-112.16397,2,230,23566,BYU-I HART Balloon - 5
5/9/26 17:45,5/9/26 17:45,44.3094,-112.16297,7,136,19843,BYU-I HART Balloon - 5
5/9/26 17:47,5/9/26 17:47,44.3066,-112.16242,54,127,16998,BYU-I HART Balloon - 5
5/9/26 17:49,5/9/26 17:49,44.29863,-112.14555,56,124,14668,BYU-I HART Balloon - 5
5/9/26 17:51,5/9/26 17:51,44.2866,-112.12212,102,122,12627,BYU-I HART Balloon - 5
5/9/26 17:53,5/9/26 17:53,44.27014,-112.09625,61,135,10992,BYU-I HART Balloon - 5
5/9/26 17:55,5/9/26 17:55,44.2532,-112.08374,41,158,9468,BYU-I HART Balloon - 5
5/9/26 17:57,5/9/26 17:57,44.23564,-112.07164,78,151,8154,BYU-I HART Balloon - 5
5/9/26 17:59,5/9/26 17:59,44.21529,-112.05246,70,138,7056,BYU-I HART Balloon - 5
5/9/26 18:01,5/9/26 18:01,44.19937,-112.03854,78,148,5889,BYU-I HART Balloon - 5
5/9/26 18:03,5/9/26 18:03,44.18379,-112.0226,37,136,4715,BYU-I HART Balloon - 5
5/9/26 18:05,5/9/26 18:05,44.17489,-112.01743,24,144,3641,BYU-I HART Balloon - 5
5/9/26 18:07,5/9/26 18:07,44.16965,-112.01313,30,158,2764,BYU-I HART Balloon - 5
5/9/26 18:09,5/9/26 18:09,44.16519,-112.00602,26,90,2035,BYU-I HART Balloon - 5
5/9/26 20:11,5/9/26 20:11,44.2252,-111.96995,52,43,1814,BYU-I HART Balloon - 5
5/9/26 20:37,5/9/26 20:37,44.23842,-111.86186,80,142,1890,BYU-I HART Balloon - 5
5/9/26 20:43,5/9/26 20:43,44.17,-111.83517,80,171,1761,BYU-I HART Balloon - 5
5/9/26 20:47,5/9/26 20:47,44.12661,-111.81776,81,115,1685,BYU-I HART Balloon - 5
5/9/26 21:09,5/9/26 21:09,43.87207,-111.7779,81,180,1498,BYU-I HART Balloon - 5
5/9/26 21:11,5/9/26 21:11,43.86058,-111.77792,83,180,1499,BYU-I HART Balloon - 5
5/9/26 21:13,5/9/26 21:13,43.84405,-111.77819,76,188,1494,BYU-I HART Balloon - 5
